year,month,customer class,value
2022,4,TOTAL IRR (POTABLE + NP IRR),926
2022,5,ICOMM,23916
2022,5,IMULT,14673
2022,5,NP IRR,4297
2022,5,OCOMM,66
2022,5,ORES,34
2022,5,POTABLE IRR,12137
2022,5,TOTAL IRES TIERS,26079
2022,5,TOTAL IRR (POTABLE + NP IRR),16434
2022,6,ICOMM,28830
2022,6,IMULT,15374
2022,6,NP IRR,10625
2022,6,OCOMM,64
2022,6,ORES,34
2022,6,POTABLE IRR,19708
2022,6,TOTAL IRES TIERS,33358
2022,6,TOTAL IRR (POTABLE + NP IRR),30333
2022,7,ICOMM,34561
2022,7,IMULT,16949
2022,7,NP IRR,13252
2022,7,OCOMM,81
2022,7,ORES,57
2022,7,POTABLE IRR,29004
2022,7,TOTAL IRES TIERS,48067
2022,7,TOTAL IRR (POTABLE + NP IRR),42256
2022,8,ICOMM,37219
2022,8,IMULT,19017
2022,8,NP IRR,11306
2022,8,OCOMM,108
2022,8,ORES,58
2022,8,POTABLE IRR,30024
2022,8,TOTAL IRES TIERS,48640
2022,8,TOTAL IRR (POTABLE + NP IRR),41330
2022,9,ICOMM,36695
2022,9,IMULT,19469
2022,9,NP IRR,10063
2022,9,OCOMM,102
2022,9,ORES,19
2022,9,POTABLE IRR,26009
2022,9,TOTAL IRES TIERS,46708
2022,9,TOTAL IRR (POTABLE + NP IRR),36072
2022,10,ICOMM,29779
2022,10,IMULT,17502
2022,10,NP IRR,5580
2022,10,OCOMM,87
2022,10,ORES,59
2022,10,POTABLE IRR,17067
2022,10,TOTAL IRES TIERS,34410
2022,10,TOTAL IRR (POTABLE + NP IRR),22647
2022,11,ICOMM,19627
2022,11,IMULT,14408
2022,11,NP IRR,1047
2022,11,OCOMM,57
2022,11,ORES,55
2022,11,POTABLE IRR,2942
2022,11,TOTAL IRES TIERS,17520
2022,11,TOTAL IRR (POTABLE + NP IRR),3989
2022,12,ICOMM,17207
2022,12,IMULT,13284
2022,12,NP IRR,0
2022,12,OCOMM,162
2022,12,ORES,18
2022,12,POTABLE IRR,192
2022,12,TOTAL IRES TIERS,12956
2022,12,TOTAL IRR (POTABLE + NP IRR),192
2023,1,ICOMM,16441
2023,1,IMULT,13083
2023,1,NP IRR,0
2023,1,OCOMM,31
2023,1,ORES,17
2023,1,POTABLE IRR,11
2023,1,TOTAL IRES TIERS,13667
2023,1,TOTAL IRR (POTABLE + NP IRR),11
2023,2,ICOMM,17613
2023,2,IMULT,14097
2023,2,NP IRR,0
